net,length_um
_0946_,18.38µm
_0940_,18.34µm
_0151_,18.24µm
_0952_,18.03µm
_0409_,18µm
_0619_,17.96µm
_0603_,17.9µm
_0161_,17.76µm
_0476_,17.72µm
_0629_,17.7µm
_0641_,17.68µm
_0646_,17.58µm
net50,17.52µm
_0260_,17.48µm
_0882_,17.48µm
_0682_,17.28µm
_0156_,17.06µm
_0695_,17.04µm
_0080_,17.02µm
_0520_,17µm
_0807_,16.96µm
_0880_,16.96µm
_0740_,16.9µm
_0873_,16.88µm
_0376_,16.84µm
net31,16.82µm
net20,16.68µm
_0587_,16.38µm
_0267_,16.36µm
_0659_,16.25µm
_0785_,16.22µm
_0927_,16.185µm
_0883_,16.16µm
_0537_,16.14µm
_0998_,16.14µm
_0401_,16.06µm
_0660_,16.06µm
_0489_,16.04µm
_0106_,16.02µm
_0448_,16.02µm
_0931_,16.02µm
_0232_,16µm
_0323_,16µm
net49,16µm
_0313_,15.94µm
_0637_,15.9µm
_0378_,15.76µm
_0865_,15.7µm
_1029_,15.7µm
_0713_,15.68µm
_0302_,15.66µm
_0630_,15.64µm
_0905_,15.64µm
_0535_,15.6µm
_0174_,15.58µm
_0306_,15.52µm
_0256_,15.5µm
_0064_,15.48µm
_0077_,15.48µm
_0517_,15.48µm
_0228_,15.46µm
_0432_,15.46µm
_0924_,15.28µm
_0846_,15.26µm
_0182_,15.24µm
_0964_,15.18µm
_0908_,15.12µm
s_axis_tdata[13],15.04µm
_0755_,15.02µm
_0899_,15.02µm
_0993_,15.02µm
_0636_,15µm
_0760_,14.98µm
_0923_,14.96µm
_0545_,14.94µm
_0661_,14.9µm
_0836_,14.9µm
_0514_,14.88µm
_0898_,14.87µm
_0733_,14.75µm
_0271_,14.72µm
_0849_,14.7µm
net10,14.7µm
s_axis_tdata[8],14.69µm
_0688_,14.66µm
_0795_,14.64µm
_0492_,14.6µm
_0628_,14.6µm
_0617_,14.57µm
_0152_,14.56µm
_0676_,14.42µm
_0757_,14.42µm
_0943_,14.4µm
_0340_,14.38µm
_0160_,14.34µm
_0583_,14.26µm
_0488_,14.24µm
_0831_,14.24µm
_0115_,14.22µm
_0242_,14.22µm
_0433_,14.2µm
_0490_,14.16µm
_0910_,14.14µm
_0818_,14.1µm
_0820_,14.06µm
_0426_,14.04µm
_0801_,14.02µm
_0838_,14.02µm
s_axis_tdata[1],14.01µm
_0469_,14µm
s_axis_tdata[14],13.94µm
s_axis_tdata[5],13.94µm
_0249_,13.92µm
_0287_,13.88µm
_0911_,13.84µm
_1003_,13.81µm
s_axis_tdata[9],13.79µm
_0509_,13.7µm
_0962_,13.68µm
_0578_,13.64µm
_0504_,13.6µm
