net,length_um
net79,356.81µm
net80,327.84µm
net126,324.825µm
net82,319.4µm
net135,305.63µm
net85,299.97µm
net134,299.11µm
clknet_2_2__leaf_aclk,287.07µm
clknet_2_0__leaf_aclk,275.89µm
net125,247µm
clknet_2_1__leaf_aclk,245.82µm
_0220_,242.26µm
net58,235.93µm
net63,235.515µm
clknet_2_3__leaf_aclk,232.49µm
net84,230.145µm
_0364_,217.94µm
net92,217.04µm
net83,207.03µm
_0689_,205.9µm
net133,189.98µm
net122,189.82µm
net97,181.765µm
net127,180.81µm
net61,174.52µm
net131,172.78µm
net1,172.29µm
net129,170.12µm
_0539_,159.9µm
net78,157.46µm
net116,155.16µm
net74,152.08µm
clknet_0_aclk,151.22µm
net121,150.55µm
net136,150.38µm
net73,144.675µm
net91,141.25µm
internal_weight\[4\],139.1µm
net57,138.24µm
_0408_,135.97µm
net119,135.42µm
aclk,135.31µm
net106,134.18µm
net105,134.145µm
net87,133.445µm
net145,132.76µm
_0656_,130.92µm
net64,130.71µm
net89,130.61µm
net62,128.05µm
net124,127.47µm
_0655_,126.16µm
net95,125.74µm
net67,119.62µm
net94,119.36µm
_0199_,116.92µm
net86,115µm
net81,114.84µm
net120,114.43µm
net109,112.39µm
_0365_,111.18µm
net77,109.92µm
net103,109.845µm
net114,109.295µm
net152,108.16µm
net112,107.32µm
_0201_,105.24µm
net123,101.52µm
net99,101.02µm
net138,100.2µm
net68,97.28µm
net66,96.8µm
net117,95.225µm
net65,94.96µm
net118,91.98µm
net107,89.775µm
internal_weight\[7\],88.68µm
net26,86.6µm
_0723_,86.02µm
_0540_,84.72µm
net111,84.58µm
net71,83.64µm
_0348_,77.76µm
_0200_,77.38µm
net27,76.78µm
internal_weight\[6\],76.58µm
net72,75.94µm
net28,75.58µm
net154,75.02µm
_0813_,73.12µm
internal_rssi\[3\],71.91µm
internal_rssi\[4\],70.8µm
net141,70.76µm
net93,69.35µm
internal_weight\[3\],68.5µm
_0972_,66.885µm
net140,66.82µm
net102,66.54µm
net25,65.28µm
net104,64.92µm
net101,63.48µm
net56,63.25µm
net43,62.82µm
net59,61.82µm
_0613_,61.51µm
_0691_,61.48µm
net39,60.59µm
net142,60.26µm
_0347_,60.24µm
net41,60.08µm
_0521_,58.7µm
internal_rssi\[5\],57.3µm
_0570_,55.39µm
net96,55µm
_0561_,53.975µm
internal_rssi\[1\],53.64µm
net100,53.36µm
_0522_,53.02µm
_0391_,52.68µm
net36,52.22µm
net40,52.15µm
_0712_,52.1µm
_0781_,51.96µm
internal_weight\[2\],51.16µm
net143,50.9µm
net45,50.54µm
net98,50.36µm
net90,50.04µm
net12,49.94µm
net37,49.92µm
net35,48.36µm
_0386_,48.28µm
_0658_,48.03µm
_0494_,47.6µm
_0390_,47.58µm
net38,46.7µm
internal_rssi\[2\],46.1µm
net60,46.02µm
net2,45.98µm
net155,45.98µm
net130,45.76µm
net115,45.455µm
_0382_,45.44µm
net128,45.4µm
net110,45.12µm
_0577_,44.4µm
net75,44.14µm
_0624_,43.4µm
net151,42.88µm
_0119_,42.84µm
_0125_,42.68µm
_0842_,42.6µm
net132,42.38µm
net69,41.96µm
_0090_,41.78µm
_0607_,41.42µm
_0407_,40.24µm
net113,40µm
_0505_,38.88µm
net24,38.56µm
_0473_,37.72µm
_0373_,37.41µm
net46,37.3µm
_0452_,37.1µm
net76,37.08µm
_0844_,37µm
_0669_,36.62µm
_0422_,36.16µm
net144,35.22µm
_0527_,34.96µm
_0126_,34.86µm
_0931_,34.66µm
_0329_,34.52µm
_0701_,34.34µm
net47,33.52µm
net48,33.42µm
_0064_,33.14µm
net29,32.76µm
_0431_,32.72µm
_0659_,32.625µm
_0495_,32.5µm
_0471_,32.15µm
_0392_,32.14µm
net108,31.8µm
_0905_,31.72µm
_0518_,31.67µm
_0876_,31.48µm
_0419_,31.26µm
_0322_,31.24µm
_0140_,31.16µm
_0352_,31.14µm
_0725_,30.72µm
_0940_,30.24µm
_0735_,30.22µm
_0754_,30.14µm
_0485_,29.995µm
_0673_,29.88µm
_0746_,29.78µm
_0906_,29.52µm
_0291_,29.08µm
_1019_,29.04µm
_0319_,28.96µm
_0670_,28.96µm
_0878_,28.82µm
net23,28.7µm
net33,28.7µm
_0552_,28.54µm
_0938_,28.48µm
_0572_,28.36µm
_0573_,27.96µm
_0614_,27.68µm
_0657_,27.64µm
_0616_,27.6µm
_0605_,27.54µm
_0752_,27.44µm
_0246_,27.42µm
_0369_,27.1µm
_0367_,27.06µm
_0414_,26.96µm
_0582_,26.695µm
_0115_,26.58µm
_0244_,26.52µm
net11,26.36µm
_0815_,26.205µm
_0479_,26.06µm
_0376_,25.98µm
_0559_,25.785µm
_0640_,25.74µm
_0443_,25.565µm
_0982_,25.5µm
_0551_,25.44µm
_0569_,25.24µm
_1016_,25.14µm
_0420_,25.09µm
_0317_,24.84µm
_0964_,24.82µm
_0846_,24.72µm
_0751_,24.7µm
_0366_,24.68µm
_0954_,24.64µm
net44,24.62µm
s_axis_tdata[5],24.56µm
_0269_,24.54µm
s_axis_tdata[9],24.33µm
_0402_,24.3µm
_0930_,24.22µm
_0783_,23.98µm
_0571_,23.94µm
net51,23.72µm
_0840_,23.595µm
_0681_,23.58µm
_0868_,23.56µm
_0936_,23.5µm
_0232_,23.36µm
_0299_,23.32µm
_0116_,23.3µm
_0921_,23.2µm
net30,23.04µm
_0557_,22.98µm
_0520_,22.92µm
s_axis_tdata[0],22.91µm
_0603_,22.9µm
_0907_,22.72µm
