Generating synthetic dataset ...
Train: (2000, 1, 16, 16)  Val: (400, 1, 16, 16)
Config: {'conv_layers': [(8, 3, 1)], 'pool_size': 2, 'pool_stride': 2, 'dense_layers': [64], 'n_classes': 10, 'batch_size': 32, 'n_epochs': 10, 'lr': 0.001, 'weight_decay': 0.0001, 'seed': 42, 'input_shape': (1, 16, 16)}

Epoch   1 | loss 0.6511 | val acc 1.0000
Epoch   2 | loss 0.0207 | val acc 1.0000
Epoch   3 | loss 0.0059 | val acc 1.0000
Epoch   4 | loss 0.0029 | val acc 1.0000
Epoch   5 | loss 0.0019 | val acc 1.0000
Epoch   6 | loss 0.0013 | val acc 1.0000
Epoch   7 | loss 0.0010 | val acc 1.0000
Epoch   8 | loss 0.0008 | val acc 1.0000
Epoch   9 | loss 0.0006 | val acc 1.0000
Epoch  10 | loss 0.0005 | val acc 1.0000

Final val accuracy: 1.0000
         1510658 function calls (1508118 primitive calls) in 10.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    49412    0.008    0.000    0.008    0.000 multiarray.py:115(empty_like)
      532    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:304(acquire)
      380    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:466(_lock_unlock_module)
        1    0.000    0.000    0.007    0.007 _colorize.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _methods.py:1(<module>)
      760    0.002    0.000    0.007    0.000 fromnumeric.py:3582(round)
       70    0.000    0.000    0.007    0.000 typing.py:1370(__getitem__)
      117    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.007    0.001 dataclasses.py:1431(wrap)
        5    0.000    0.000    0.007    0.001 dataclasses.py:986(_process_class)
        1    0.000    0.000    0.006    0.006 _pickle.py:1(<module>)
        1    0.000    0.000    0.006    0.006 format.py:1(<module>)
    20854    0.006    0.000    0.006    0.000 {built-in method builtins.isinstance}
       53    0.000    0.000    0.005    0.000 _add_newdocs.py:3381(_array_method_doc)
      144    0.002    0.000    0.005    0.000 typing.py:260(_collect_type_parameters)
      234    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:239(cache_from_source)
      630    0.005    0.000    0.005    0.000 _methods.py:73(_count_reduce_items)
        1    0.000    0.000    0.005    0.005 _format_impl.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _dtype_like.py:1(<module>)
      632    0.003    0.000    0.005    0.000 cnn.py:303(_param_layers)
        1    0.000    0.000    0.005    0.005 bz2.py:1(<module>)
      762    0.005    0.000    0.005    0.000 {built-in method numpy.empty}
     1520    0.005    0.000    0.005    0.000 {built-in method numpy.asarray}
        1    0.000    0.000    0.005    0.005 numerictypes.py:1(<module>)
     3040    0.005    0.000    0.005    0.000 _arraypad_impl.py:59(_view_roi)
      146    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:736(_init_module_attrs)
       19    0.000    0.000    0.004    0.000 __init__.py:330(_compile)
       17    0.000    0.000    0.004    0.000 __init__.py:287(compile)
     6080    0.004    0.000    0.004    0.000 _arraypad_impl.py:34(_slice_at_axis)
      277    0.003    0.000    0.004    0.000 typing.py:184(_type_check)
       16    0.000    0.000    0.004    0.000 _compiler.py:757(compile)
      130    0.002    0.000    0.004    0.000 cnn.py:256(predict)
     2282    0.004    0.000    0.004    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.004    0.004 _utils_impl.py:1(<module>)
        5    0.000    0.000    0.004    0.001 dataclasses.py:478(add_fns_to_class)
       70    0.000    0.000    0.004    0.000 typing.py:1401(_determine_new_args)
       23    0.000    0.000    0.004    0.000 overrides.py:184(decorator)
      532    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
      152    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:419(__enter__)
        1    0.000    0.000    0.003    0.003 pickle.py:1(<module>)
       70    0.000    0.000    0.003    0.000 typing.py:1430(_make_substitution)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
      251    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:635(cached)
      229    0.001    0.000    0.003    0.000 overrides.py:86(verify_matching_signatures)
      134    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
21911/21838    0.003    0.000    0.003    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.003    0.003 typing.py:1(<module>)
      760    0.003    0.000    0.003    0.000 {method 'round' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.003    0.003 _polynomial_impl.py:1(<module>)
      104    0.000    0.000    0.003    0.000 typing.py:1037(_typevar_subst)
      780    0.003    0.000    0.003    0.000 {method 'astype' of 'numpy.ndarray' objects}
      532    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
     1201    0.001    0.000    0.003    0.000 typing.py:1286(__setattr__)
       70    0.000    0.000    0.003    0.000 typing.py:1492(copy_with)
       16    0.000    0.000    0.003    0.000 _parser.py:963(parse)
      288    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1233(_path_importer_cache)
       24    0.000    0.000    0.002    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
1084/1041    0.001    0.000    0.002    0.000 {built-in method __new__ of type object at 0x00007FFC1D3C4D90}
       28    0.000    0.000    0.002    0.000 inspect.py:3319(signature)
        1    0.000    0.000    0.002    0.002 _globals.py:1(<module>)
       28    0.000    0.000    0.002    0.000 inspect.py:3032(from_callable)
    36/16    0.000    0.000    0.002    0.000 _parser.py:452(_parse_sub)
    36/28    0.000    0.000    0.002    0.000 inspect.py:2413(_signature_from_callable)
      630    0.001    0.000    0.002    0.000 cnn.py:199(backward)
        1    0.000    0.000    0.002    0.002 platform.py:1(<module>)
    42/16    0.001    0.000    0.002    0.000 _parser.py:512(_parse)
     9133    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
       12    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1220(_path_hooks)
       12    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1408(_fill_cache)
        1    0.000    0.000    0.002    0.002 textwrap.py:1(<module>)
     3800    0.002    0.000    0.002    0.000 _arraypad_impl.py:121(<genexpr>)
        1    0.000    0.000    0.002    0.002 textwrap.py:17(TextWrapper)
     6300    0.002    0.000    0.002    0.000 einsumfunc.py:1236(_einsum_dispatcher)
      458    0.001    0.000    0.002    0.000 _inspect.py:97(getargspec)
      289    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
      117    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
      532    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.002    0.002 _function_base_impl.py:1(<module>)
     9121    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
       90    0.001    0.000    0.002    0.000 typing.py:1727(__hash__)
        1    0.000    0.000    0.002    0.002 fnmatch.py:1(<module>)
     1831    0.001    0.000    0.002    0.000 typing.py:1026(_is_unpacked_typevartuple)
        1    0.000    0.000    0.002    0.002 warnings.py:1(<module>)
       14    0.001    0.000    0.002    0.000 __init__.py:361(namedtuple)
      134    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1352(_get_spec)
        8    0.000    0.000    0.002    0.000 typing.py:2965(__new__)
       28    0.000    0.000    0.002    0.000 inspect.py:2307(_signature_from_function)
      171    0.000    0.000    0.002    0.000 typing.py:1225(__init__)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1174(exec_module)
        1    0.000    0.000    0.002    0.002 _add_newdocs_scalars.py:1(<module>)
       53    0.001    0.000    0.002    0.000 textwrap.py:416(dedent)
      760    0.001    0.000    0.002    0.000 cnn.py:195(forward)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
     5224    0.002    0.000    0.002    0.000 typing.py:1717(<genexpr>)
     3543    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
       46    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.002    0.002 _twodim_base_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 <frozen posixpath>:1(<module>)
       12    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
     1452    0.001    0.000    0.001    0.000 typing.py:1212(_is_dunder)
     3800    0.001    0.000    0.001    0.000 _arraypad_impl.py:110(<genexpr>)
      532    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:429(_get_module_lock)
      134    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(spec_from_file_location)
       16    0.000    0.000    0.001    0.000 _compiler.py:590(_code)
        1    0.000    0.000    0.001    0.001 _type_check_impl.py:1(<module>)
      760    0.001    0.000    0.001    0.000 _function_base_impl.py:363(iterable)
      630    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 printoptions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
      234    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
     5420    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     4823    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      458    0.001    0.000    0.001    0.000 _inspect.py:66(getargs)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1449(path_hook_for_FileFinder)
       12    0.000    0.000    0.001    0.000 <frozen zipimport>:67(__init__)
        1    0.000    0.000    0.001    0.001 overrides.py:1(<module>)
        1    0.001    0.001    0.001    0.001 base64.py:1(<module>)
     6953    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     2031    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        5    0.000    0.000    0.001    0.000 enum.py:480(__new__)
    69/16    0.000    0.000    0.001    0.000 _compiler.py:39(_compile)
        1    0.000    0.000    0.001    0.001 _arraysetops_impl.py:1(<module>)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     1836    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      760    0.001    0.000    0.001    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 array_utils.py:1(<module>)
        8    0.000    0.000    0.001    0.000 typing.py:2934(_make_nmtuple)
       14    0.000    0.000    0.001    0.000 typing.py:1977(__new__)
        1    0.000    0.000    0.001    0.001 cnn.py:267(__init__)
      146    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
     3856    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
    18/14    0.000    0.000    0.001    0.000 annotationlib.py:697(call_annotate_function)
