Generating synthetic dataset ...
Train: (2000, 1, 16, 16)  Val: (400, 1, 16, 16)
Config: {'conv_layers': [(8, 3, 1)], 'pool_size': 2, 'pool_stride': 2, 'dense_layers': [64], 'n_classes': 10, 'batch_size': 32, 'n_epochs': 10, 'lr': 0.001, 'weight_decay': 0.0001, 'seed': 42, 'input_shape': (1, 16, 16)}

Epoch   1 | loss 0.6511 | val acc 1.0000
Epoch   2 | loss 0.0207 | val acc 1.0000
Epoch   3 | loss 0.0059 | val acc 1.0000
Epoch   4 | loss 0.0029 | val acc 1.0000
Epoch   5 | loss 0.0019 | val acc 1.0000
Epoch   6 | loss 0.0013 | val acc 1.0000
Epoch   7 | loss 0.0010 | val acc 1.0000
Epoch   8 | loss 0.0008 | val acc 1.0000
Epoch   9 | loss 0.0006 | val acc 1.0000
Epoch  10 | loss 0.0005 | val acc 1.0000

Final val accuracy: 1.0000
         1510658 function calls (1508118 primitive calls) in 10.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 inspect.py:3258(format)
       16    0.000    0.000    0.000    0.000 _compiler.py:525(_compile_info)
      577    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1225(__enter__)
     1264    0.000    0.000    0.000    0.000 cnn.py:227(grads)
       20    0.000    0.000    0.000    0.000 fromnumeric.py:2207(clip)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(exec_module)
        1    0.000    0.000    0.000    0.000 argparse.py:2002(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:2012(parse_known_args)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1131(find_spec)
       31    0.000    0.000    0.000    0.000 _compiler.py:248(_optimize_charset)
        1    0.000    0.000    0.000    0.000 argparse.py:2015(_parse_known_args2)
      157    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      285    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:648(parent)
       11    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        2    0.000    0.000    0.000    0.000 typing.py:3139(__new__)
      421    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
      360    0.000    0.000    0.000    0.000 typing.py:175(_type_convert)
    97/69    0.000    0.000    0.000    0.000 annotationlib.py:1131(_get_dunder_annotations)
      146    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
    343/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        1    0.000    0.000    0.000    0.000 argparse.py:2053(_parse_known_args)
      728    0.000    0.000    0.000    0.000 _parser.py:240(__next)
       32    0.000    0.000    0.000    0.000 inspect.py:2972(__init__)
      458    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
     1260    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1260    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 _py_warnings.py:1(<module>)
      760    0.000    0.000    0.000    0.000 fromnumeric.py:3578(_round_dispatcher)
       17    0.000    0.000    0.000    0.000 typing.py:1174(_generic_init_subclass)
      784    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       46    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       20    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 _colorize.py:274(can_colorize)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        5    0.000    0.000    0.000    0.000 dataclasses.py:670(_init_fn)
      632    0.000    0.000    0.000    0.000 cnn.py:114(grads)
     1064    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1331(__init__)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        3    0.000    0.000    0.000    0.000 argparse.py:1417(__init__)
       14    0.000    0.000    0.000    0.000 typing.py:1996(__init__)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
      458    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 __init__.py:175(CompressionParameter)
      458    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
       37    0.000    0.000    0.000    0.000 inspect.py:2770(_format)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:605(_getfinalpathname_nonstrict)
        8    0.000    0.000    0.000    0.000 typing.py:385(decorator)
       20    0.000    0.000    0.000    0.000 _methods.py:96(_clip)
       34    0.000    0.000    0.000    0.000 enum.py:1041(_add_member_)
        1    0.000    0.000    0.000    0.000 cnn.py:323(__init__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        2    0.000    0.000    0.000    0.000 argparse.py:2121(consume_optional)
  630/611    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _colorize.py:115(__annotate__)
      760    0.000    0.000    0.000    0.000 _arraypad_impl.py:538(_pad_dispatcher)
        1    0.000    0.000    0.000    0.000 typing.py:2912(<generic parameters of SupportsAbs>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:992(create_module)
      251    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
      536    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:91(_delvewheel_patch_1_11_2)
        6    0.000    0.000    0.000    0.000 numeric.py:2750(extend_all)
       50    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
       77    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
       14    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      532    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      760    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:396(_broadcast_to_dispatcher)
        3    0.000    0.000    0.000    0.000 _ufunc_config.py:496(inner)
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
       14    0.000    0.000    0.000    0.000 typing.py:1842(_get_protocol_attrs)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
        8    0.000    0.000    0.000    0.000 typing.py:380(_tp_cache)
      206    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 typing.py:2923(<generic parameters of SupportsRound>)
      375    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
       11    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
      118    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      352    0.000    0.000    0.000    0.000 {built-in method from_bytes}
    70/29    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
      378    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
       70    0.000    0.000    0.000    0.000 typing.py:341(_unpack_args)
       12    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        5    0.000    0.000    0.000    0.000 enum.py:466(__prepare__)
      132    0.000    0.000    0.000    0.000 enum.py:677(__call__)
       16    0.000    0.000    0.000    0.000 enum.py:1594(__and__)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
      468    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:2390(_match_argument)
       12    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       12    0.000    0.000    0.000    0.000 inspect.py:1910(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
    39/14    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       13    0.000    0.000    0.000    0.000 functools.py:593(decorating_function)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method nt._supports_virtual_terminal}
       29    0.000    0.000    0.000    0.000 <frozen _collections_abc>:792(get)
        2    0.000    0.000    0.000    0.000 __init__.py:164(match)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       33    0.000    0.000    0.000    0.000 <frozen os>:704(__getitem__)
    39/14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      140    0.000    0.000    0.000    0.000 typing.py:1396(<genexpr>)
        3    0.000    0.000    0.000    0.000 gettext.py:627(gettext)
        1    0.000    0.000    0.000    0.000 mixins.py:60(NDArrayOperatorsMixin)
        3    0.000    0.000    0.000    0.000 gettext.py:587(dgettext)
      581    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      117    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       30    0.000    0.000    0.000    0.000 dataclasses.py:446(add_fn)
      532    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        3    0.000    0.000    0.000    0.000 gettext.py:528(translation)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
        1    0.000    0.000    0.000    0.000 __init__.py:886(blas_fpe_check)
      117    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
      109    0.000    0.000    0.000    0.000 __init__.py:28(decorator)
        4    0.000    0.000    0.000    0.000 inspect.py:2031(_signature_bound_method)
        5    0.000    0.000    0.000    0.000 dataclasses.py:728(_frozen_get_del_attr)
       68    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 cnn.py:1(<module>)
       44    0.000    0.000    0.000    0.000 inspect.py:663(unwrap)
        4    0.000    0.000    0.000    0.000 annotationlib.py:452(__getitem__)
       41    0.000    0.000    0.000    0.000 dataclasses.py:751(_is_classvar)
       43    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
      264    0.000    0.000    0.000    0.000 overrides.py:108(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:222(Strategy)
      388    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
      192    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      253    0.000    0.000    0.000    0.000 _parser.py:256(match)
       21    0.000    0.000    0.000    0.000 overrides.py:25(get_array_function_like_doc)
       73    0.000    0.000    0.000    0.000 pickle.py:190(<genexpr>)
        3    0.000    0.000    0.000    0.000 gettext.py:488(find)
      139    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 __init__.py:822(_sanity_check)
        3    0.000    0.000    0.000    0.000 typing.py:1364(__or__)
      298    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      152    0.000    0.000    0.000    0.000 _parser.py:176(append)
        1    0.000    0.000    0.000    0.000 __init__.py:222(is_python_build)
        9    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.000    0.000 _globals.py:66(_CopyMode)
       41    0.000    0.000    0.000    0.000 inspect.py:1339(formatannotation)
       41    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 _streams.py:1(<module>)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:665(spec_from_loader)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       31    0.000    0.000    0.000    0.000 _compiler.py:221(_compile_charset)
       79    0.000    0.000    0.000    0.000 {method '__typing_prepare_subst__' of 'typing.TypeVar' objects}
       47    0.000    0.000    0.000    0.000 typing.py:2483(get_origin)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        4    0.000    0.000    0.000    0.000 inspect.py:3050(replace)
        2    0.000    0.000    0.000    0.000 argparse.py:1561(add_argument_group)
        5    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
       44    0.000    0.000    0.000    0.000 enum.py:811(__setattr__)
       41    0.000    0.000    0.000    0.000 dataclasses.py:591(_field_init)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method nt._path_isfile}
      144    0.000    0.000    0.000    0.000 inspect.py:3027(<genexpr>)
      405    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 {built-in method nt._path_isdir}
       69    0.000    0.000    0.000    0.000 enum.py:77(_is_private)
       10    0.000    0.000    0.000    0.000 enum.py:928(_get_mixins_)
       64    0.000    0.000    0.000    0.000 enum.py:746(__delattr__)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:602(__init__)
        1    0.000    0.000    0.000    0.000 _zstdfile.py:1(<module>)
        2    0.000    0.000    0.000    0.000 argparse.py:1751(__init__)
       28    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
      151    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      136    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
      107    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       14    0.000    0.000    0.000    0.000 annotationlib.py:853(_build_closure)
        1    0.000    0.000    0.000    0.000 <frozen os>:1161(add_dll_directory)
        7    0.000    0.000    0.000    0.000 argparse.py:1981(_add_action)
        8    0.000    0.000    0.000    0.000 inspect.py:1725(getattr_static)
       33    0.000    0.000    0.000    0.000 <frozen os>:778(encodekey)
      140    0.000    0.000    0.000    0.000 typing.py:1716(_value_and_type_iter)
      112    0.000    0.000    0.000    0.000 typing.py:1721(__eq__)
    20/15    0.000    0.000    0.000    0.000 _compiler.py:450(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 cnn.py:29(__init__)
        1    0.000    0.000    0.000    0.000 _colorize.py:242(no_colors)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _compiler.py:400(_mk_bitmap)
      225    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       41    0.000    0.000    0.000    0.000 dataclasses.py:391(field)
       35    0.000    0.000    0.000    0.000 dataclasses.py:922(_set_new_attribute)
       13    0.000    0.000    0.000    0.000 mixins.py:45(_numeric_methods)
       48    0.000    0.000    0.000    0.000 enum.py:1576(_get_value)
        1    0.000    0.000    0.000    0.000 threading.py:1393(__init__)
        2    0.000    0.000    0.000    0.000 numeric.py:170(ones)
        1    0.000    0.000    0.000    0.000 {built-in method nt._add_dll_directory}
        7    0.000    0.000    0.000    0.000 argparse.py:1781(_add_action)
       26    0.000    0.000    0.000    0.000 _compiler.py:412(_simple)
        2    0.000    0.000    0.000    0.000 __init__.py:417(__init__)
        9    0.000    0.000    0.000    0.000 overrides.py:30(finalize_array_function_like)
       10    0.000    0.000    0.000    0.000 _colorize.py:276(_safe_getenv)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
      181    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _array_api_info.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:346(_reset_cache)
      132    0.000    0.000    0.000    0.000 enum.py:1146(__new__)
        4    0.000    0.000    0.000    0.000 _colorize.py:140(no_colors)
        4    0.000    0.000    0.000    0.000 _py_warnings.py:320(_add_filter)
       64    0.000    0.000    0.000    0.000 enum.py:46(_is_dunder)
        8    0.000    0.000    0.000    0.000 inspect.py:1686(_check_class)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:563(_readlink_deep)
        1    0.000    0.000    0.000    0.000 typing.py:526(_SpecialForm)
        8    0.000    0.000    0.000    0.000 _colorize.py:127(__post_init__)
       10    0.000    0.000    0.000    0.000 typing.py:2258(runtime_checkable)
       10    0.000    0.000    0.000    0.000 enum.py:969(_find_data_type_)
       25    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
      177    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:114(_getuserbase)
        1    0.000    0.000    0.000    0.000 shutil.py:1511(get_terminal_size)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
       69    0.000    0.000    0.000    0.000 enum.py:57(_is_sunder)
        5    0.000    0.000    0.000    0.000 dataclasses.py:943(_hash_add)
        4    0.000    0.000    0.000    0.000 annotationlib.py:404(__convert_to_ast_getitem)
        4    0.000    0.000    0.000    0.000 __init__.py:603(PYFUNCTYPE)
       36    0.000    0.000    0.000    0.000 enum.py:36(_is_descriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:209(DecompressionParameter)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
       14    0.000    0.000    0.000    0.000 annotationlib.py:652(__init__)
      109    0.000    0.000    0.000    0.000 __init__.py:17(set_module)
        7    0.000    0.000    0.000    0.000 argparse.py:1571(_add_action)
       11    0.000    0.000    0.000    0.000 typing.py:3827(__getattr__)
        7    0.000    0.000    0.000    0.000 argparse.py:1658(_get_optional_kwargs)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(numeric_type_aliases)
        2    0.000    0.000    0.000    0.000 __init__.py:271(POINTER)
        2    0.000    0.000    0.000    0.000 _linalg.py:84(__annotate__)
      152    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:2101(take_action)
        5    0.000    0.000    0.000    0.000 dataclasses.py:415(_fields_in_init_order)
        1    0.000    0.000    0.000    0.000 numerictypes.py:626(_register_types)
        2    0.000    0.000    0.000    0.000 random.py:119(__init__)
        4    0.000    0.000    0.000    0.000 <frozen ntpath>:222(split)
        7    0.000    0.000    0.000    0.000 argparse.py:631(_format_args)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:1250(_Unpickler)
       28    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        3    0.000    0.000    0.000    0.000 gettext.py:231(_expand_lang)
       16    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method nt.readlink}
        1    0.000    0.000    0.000    0.000 _ufunc.py:1(<module>)
        4    0.000    0.000    0.000    0.000 annotationlib.py:361(__convert_to_ast)
       80    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 enum.py:996(_find_new_)
       14    0.000    0.000    0.000    0.000 __init__.py:148(_check_size)
       17    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:19(type_aliases_gen)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:917(__init__)
       37    0.000    0.000    0.000    0.000 argparse.py:1471(register)
       46    0.000    0.000    0.000    0.000 dataclasses.py:733(<genexpr>)
        1    0.000    0.000    0.000    0.000 _arrayterator_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
        7    0.000    0.000    0.000    0.000 getlimits.py:412(__init__)
       12    0.000    0.000    0.000    0.000 inspect.py:1712(_shadowed_dict)
       99    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:21(<genexpr>)
        2    0.000    0.000    0.000    0.000 _linalg.py:100(__annotate__)
      171    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_requires_builtin_wrapper)
       60    0.000    0.000    0.000    0.000 inspect.py:267(isfunction)
        1    0.000    0.000    0.000    0.000 typing.py:1315(_GenericAlias)
        9    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        5    0.000    0.000    0.000    0.000 <frozen ntpath>:99(join)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:656(has_location)
        1    0.000    0.000    0.000    0.000 typing.py:1632(_CallableType)
      257    0.000    0.000    0.000    0.000 hmac.py:22(<genexpr>)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
        1    0.000    0.000    0.000    0.000 __init__.py:538(__getattr__)
       54    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        1    0.000    0.000    0.000    0.000 typing.py:1540(_SpecialGenericAlias)
        1    0.000    0.000    0.000    0.000 typing.py:3493(IO)
       46    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:89(<genexpr>)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:750(create_module)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:294(simplefilter)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        2    0.000    0.000    0.000    0.000 _linalg.py:88(__annotate__)
       41    0.000    0.000    0.000    0.000 dataclasses.py:579(_field_assign)
       81    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:491(__call__)
        2    0.000    0.000    0.000    0.000 _linalg.py:92(__annotate__)
        5    0.000    0.000    0.000    0.000 <frozen ntpath>:50(normcase)
        5    0.000    0.000    0.000    0.000 reprlib.py:12(decorating_function)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
       24    0.000    0.000    0.000    0.000 numerictypes.py:594(_scalar_type_key)
        1    0.000    0.000    0.000    0.000 typing.py:1665(_TupleType)
        1    0.000    0.000    0.000    0.000 typing.py:1601(__init__)
       82    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 threading.py:880(__init__)
       33    0.000    0.000    0.000    0.000 <frozen os>:772(check_str)
        2    0.000    0.000    0.000    0.000 arrayprint.py:577(decorating_function)
        2    0.000    0.000    0.000    0.000 <frozen ntpath>:261(dirname)
       16    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       82    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       61    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 _iotools.py:452(StringConverter)
      105    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        4    0.000    0.000    0.000    0.000 annotationlib.py:430(__make_new)
        2    0.000    0.000    0.000    0.000 _linalg.py:96(__annotate__)
       26    0.000    0.000    0.000    0.000 typing.py:1127(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1337(<genexpr>)
        1    0.000    0.000    0.000    0.000 multiarray.py:81(_override___module__)
        4    0.000    0.000    0.000    0.000 annotationlib.py:662(__missing__)
        5    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:799(__contains__)
        1    0.000    0.000    0.000    0.000 _nbit.py:1(<module>)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:942(get_filename)
       82    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      153    0.000    0.000    0.000    0.000 inspect.py:2733(name)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:54(_get_platform_and_machine)
       28    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
       41    0.000    0.000    0.000    0.000 dataclasses.py:651(_init_param)
        3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        2    0.000    0.000    0.000    0.000 argparse.py:2597(_get_values)
        1    0.000    0.000    0.000    0.000 argparse.py:157(HelpFormatter)
       32    0.000    0.000    0.000    0.000 _compiler.py:587(isstring)
       72    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
       11    0.000    0.000    0.000    0.000 _compiler.py:481(_get_charset_prefix)
       10    0.000    0.000    0.000    0.000 annotationlib.py:895(get_annotate_from_class_namespace)
       14    0.000    0.000    0.000    0.000 annotationlib.py:673(transmogrify)
       34    0.000    0.000    0.000    0.000 enum.py:68(_is_internal_class)
        1    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
       20    0.000    0.000    0.000    0.000 mixins.py:17(_binary_method)
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:473(__new__)
       61    0.000    0.000    0.000    0.000 __init__.py:435(<genexpr>)
        4    0.000    0.000    0.000    0.000 inspect.py:2057(_signature_is_builtin)
        1    0.000    0.000    0.000    0.000 getlimits.py:60(finfo)
        7    0.000    0.000    0.000    0.000 argparse.py:1740(_check_help)
        1    0.000    0.000    0.000    0.000 {built-in method nt.get_terminal_size}
        1    0.000    0.000    0.000    0.000 {built-in method nt.unsetenv}
        5    0.000    0.000    0.000    0.000 enum.py:918(_check_for_existing_members_)
        6    0.000    0.000    0.000    0.000 typing.py:3116(_get_typeddict_qualifiers)
        1    0.000    0.000    0.000    0.000 __init__.py:125(joinuser)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x000002236ACAF060}
       86    0.000    0.000    0.000    0.000 _compat_pickle.py:166(<genexpr>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:73(matrix)
       13    0.000    0.000    0.000    0.000 functools.py:553(lru_cache)
        4    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        9    0.000    0.000    0.000    0.000 typing.py:1517(__mro_entries__)
       41    0.000    0.000    0.000    0.000 dataclasses.py:756(_is_initvar)
      119    0.000    0.000    0.000    0.000 inspect.py:2745(kind)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
        1    0.000    0.000    0.000    0.000 threading.py:630(set)
        1    0.000    0.000    0.000    0.000 numbers.py:57(Complex)
        1    0.000    0.000    0.000    0.000 argparse.py:1815(_prog_name)
        1    0.000    0.000    0.000    0.000 contextlib.py:276(contextmanager)
        1    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _colorize.py:210(Theme)
       41    0.000    0.000    0.000    0.000 dataclasses.py:294(__init__)
        6    0.000    0.000    0.000    0.000 argparse.py:963(__init__)
       10    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:1093(poly1d)
        5    0.000    0.000    0.000    0.000 dataclasses.py:424(_tuple_str)
        1    0.000    0.000    0.000    0.000 __init__.py:481(__getattr__)
        1    0.000    0.000    0.000    0.000 _array_utils_impl.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _exceptions.py:16(_display_as_base)
        1    0.000    0.000    0.000    0.000 argparse.py:1205(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 _internal.py:253(_missing_ctypes)
       77    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 functools.py:726(cache)
        7    0.000    0.000    0.000    0.000 argparse.py:1690(_pop_action_class)
       16    0.000    0.000    0.000    0.000 _parser.py:947(fix_flags)
        1    0.000    0.000    0.000    0.000 __init__.py:305(escape)
