Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_53_278,VGND,li1,133.8600,157.7600,0.000044
FILLER_53_270,VGND,li1,131.5600,157.7600,0.000044
FILLER_53_258,VGND,li1,126.9600,157.7600,0.000043
FILLER_53_246,VGND,li1,121.4400,157.7600,0.000042
FILLER_53_234,VGND,li1,115.9200,157.7600,0.000041
FILLER_53_223,VGND,li1,108.3300,157.7600,0.000040
FILLER_53_211,VGND,li1,105.3400,157.7600,0.000040
FILLER_53_205,VGND,li1,100.0500,157.7600,0.000038
FILLER_53_201,VGND,li1,98.9000,157.7600,0.000038
FILLER_53_193,VGND,li1,94.5300,157.7600,0.000037
FILLER_53_189,VGND,li1,93.3800,157.7600,0.000036
FILLER_53_173,VGND,li1,85.3300,157.7600,0.000034
FILLER_53_169,VGND,li1,84.1800,157.7600,0.000034
FILLER_53_167,VGND,li1,82.5700,157.7600,0.000034
FILLER_53_159,VGND,li1,80.5000,157.7600,0.000033
FILLER_53_147,VGND,li1,75.9000,157.7600,0.000031
FILLER_53_137,VGND,li1,70.3800,157.7600,0.000029
FILLER_53_125,VGND,li1,65.7800,157.7600,0.000027
FILLER_53_113,VGND,li1,60.2600,157.7600,0.000024
FILLER_53_111,VGND,li1,56.8100,157.7600,0.000023
FILLER_53_107,VGND,li1,55.6600,157.7600,0.000022
FILLER_53_95,VGND,li1,51.9800,157.7600,0.000020
FILLER_53_83,VGND,li1,46.4600,157.7600,0.000018
FILLER_53_80,VGND,li1,42.5500,157.7600,0.000016
FILLER_53_68,VGND,li1,39.5600,157.7600,0.000014
FILLER_53_57,VGND,li1,31.9700,157.7600,0.000010
FILLER_53_53,VGND,li1,30.5900,157.7600,0.000010
FILLER_53_41,VGND,li1,27.1400,157.7600,0.000008
FILLER_53_35,VGND,li1,22.0800,157.7600,0.000006
FILLER_53_28,VGND,li1,19.0900,157.7600,0.000006
FILLER_53_15,VGND,li1,13.3400,157.7600,0.000006
