Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_136_41,VPWR,li1,27.1400,383.5200,1.799959
FILLER_136_29,VPWR,li1,21.6200,383.5200,1.799973
FILLER_136_27,VPWR,li1,18.1700,383.5200,1.799973
FILLER_136_15,VPWR,li1,15.1800,383.5200,1.799973
FILLER_136_3,VPWR,li1,9.6600,383.5200,1.799973
FILLER_135_809,VPWR,li1,378.1200,378.0800,1.799999
FILLER_135_797,VPWR,li1,374.9000,378.0800,1.799999
FILLER_135_785,VPWR,li1,369.3800,378.0800,1.799999
FILLER_135_783,VPWR,li1,365.9300,378.0800,1.799999
FILLER_135_777,VPWR,li1,364.3200,378.0800,1.799999
FILLER_135_765,VPWR,li1,360.1800,378.0800,1.799999
FILLER_135_753,VPWR,li1,354.6600,378.0800,1.799999
FILLER_135_741,VPWR,li1,349.1400,378.0800,1.799999
FILLER_135_729,VPWR,li1,343.6200,378.0800,1.799999
FILLER_135_727,VPWR,li1,340.1700,378.0800,1.799999
FILLER_135_721,VPWR,li1,338.5600,378.0800,1.799999
FILLER_135_709,VPWR,li1,334.4200,378.0800,1.799999
FILLER_135_697,VPWR,li1,328.9000,378.0800,1.799999
FILLER_135_685,VPWR,li1,323.3800,378.0800,1.799999
FILLER_135_673,VPWR,li1,317.8600,378.0800,1.799998
FILLER_135_671,VPWR,li1,314.4100,378.0800,1.799998
FILLER_135_665,VPWR,li1,312.8000,378.0800,1.799998
FILLER_135_653,VPWR,li1,308.6600,378.0800,1.799998
FILLER_135_641,VPWR,li1,303.1400,378.0800,1.799997
FILLER_135_629,VPWR,li1,297.6200,378.0800,1.799997
FILLER_135_617,VPWR,li1,292.1000,378.0800,1.799996
FILLER_135_615,VPWR,li1,288.6500,378.0800,1.799996
FILLER_135_609,VPWR,li1,287.0400,378.0800,1.799996
FILLER_135_597,VPWR,li1,282.9000,378.0800,1.799996
FILLER_135_585,VPWR,li1,277.3800,378.0800,1.799995
FILLER_135_573,VPWR,li1,271.8600,378.0800,1.799995
FILLER_135_561,VPWR,li1,266.3400,378.0800,1.799994
FILLER_135_559,VPWR,li1,262.8900,378.0800,1.799994
FILLER_135_553,VPWR,li1,261.2800,378.0800,1.799994
FILLER_135_541,VPWR,li1,257.1400,378.0800,1.799994
FILLER_135_529,VPWR,li1,251.6200,378.0800,1.799993
FILLER_135_517,VPWR,li1,246.1000,378.0800,1.799993
FILLER_135_505,VPWR,li1,240.5800,378.0800,1.799992
FILLER_135_503,VPWR,li1,237.1300,378.0800,1.799992
FILLER_135_497,VPWR,li1,235.5200,378.0800,1.799992
FILLER_135_485,VPWR,li1,231.3800,378.0800,1.799991
FILLER_135_473,VPWR,li1,225.8600,378.0800,1.799991
FILLER_135_461,VPWR,li1,220.3400,378.0800,1.799991
FILLER_135_449,VPWR,li1,214.8200,378.0800,1.799990
FILLER_135_447,VPWR,li1,211.3700,378.0800,1.799990
FILLER_135_441,VPWR,li1,209.7600,378.0800,1.799990
FILLER_135_429,VPWR,li1,205.6200,378.0800,1.799989
FILLER_135_417,VPWR,li1,200.1000,378.0800,1.799989
FILLER_135_405,VPWR,li1,194.5800,378.0800,1.799989
FILLER_135_393,VPWR,li1,189.0600,378.0800,1.799988
FILLER_135_391,VPWR,li1,185.6100,378.0800,1.799988
FILLER_135_385,VPWR,li1,184.0000,378.0800,1.799988
FILLER_135_373,VPWR,li1,179.8600,378.0800,1.799991
FILLER_135_361,VPWR,li1,174.3400,378.0800,1.799992
FILLER_135_349,VPWR,li1,168.8200,378.0800,1.799992
FILLER_135_337,VPWR,li1,163.3000,378.0800,1.799991
FILLER_135_335,VPWR,li1,159.8500,378.0800,1.799991
FILLER_135_329,VPWR,li1,158.2400,378.0800,1.799991
FILLER_135_317,VPWR,li1,154.1000,378.0800,1.799990
FILLER_135_305,VPWR,li1,148.5800,378.0800,1.799989
FILLER_135_293,VPWR,li1,143.0600,378.0800,1.799989
FILLER_135_281,VPWR,li1,137.5400,378.0800,1.799988
FILLER_135_279,VPWR,li1,134.0900,378.0800,1.799988
FILLER_135_273,VPWR,li1,132.4800,378.0800,1.799988
FILLER_135_261,VPWR,li1,128.3400,378.0800,1.799988
FILLER_135_249,VPWR,li1,122.8200,378.0800,1.799989
FILLER_135_237,VPWR,li1,117.3000,378.0800,1.799990
FILLER_135_225,VPWR,li1,111.7800,378.0800,1.799990
FILLER_135_223,VPWR,li1,108.3300,378.0800,1.799991
FILLER_135_217,VPWR,li1,106.7200,378.0800,1.799991
FILLER_135_205,VPWR,li1,102.5800,378.0800,1.799991
FILLER_135_193,VPWR,li1,97.0600,378.0800,1.799992
FILLER_135_181,VPWR,li1,91.5400,378.0800,1.799992
FILLER_135_169,VPWR,li1,86.0200,378.0800,1.799993
FILLER_135_167,VPWR,li1,82.5700,378.0800,1.799993
FILLER_135_161,VPWR,li1,80.9600,378.0800,1.799993
FILLER_135_149,VPWR,li1,76.8200,378.0800,1.799994
FILLER_135_137,VPWR,li1,71.3000,378.0800,1.799994
FILLER_135_125,VPWR,li1,65.7800,378.0800,1.799995
FILLER_135_113,VPWR,li1,60.2600,378.0800,1.799995
FILLER_135_111,VPWR,li1,56.8100,378.0800,1.799996
FILLER_135_105,VPWR,li1,55.2000,378.0800,1.799996
FILLER_135_93,VPWR,li1,51.0600,378.0800,1.799996
FILLER_135_81,VPWR,li1,45.5400,378.0800,1.799997
FILLER_135_69,VPWR,li1,40.0200,378.0800,1.799997
FILLER_135_57,VPWR,li1,34.5000,378.0800,1.799998
FILLER_135_55,VPWR,li1,31.0500,378.0800,1.799998
FILLER_135_51,VPWR,li1,29.9000,378.0800,1.799998
FILLER_135_39,VPWR,li1,26.2200,378.0800,1.799998
FILLER_135_27,VPWR,li1,20.7000,378.0800,1.799999
FILLER_135_15,VPWR,li1,15.1800,378.0800,1.799999
FILLER_135_3,VPWR,li1,9.6600,378.0800,1.799999
FILLER_134_805,VPWR,li1,377.2000,378.0800,1.799999
FILLER_134_793,VPWR,li1,373.0600,378.0800,1.799999
FILLER_134_781,VPWR,li1,367.5400,378.0800,1.799999
FILLER_134_769,VPWR,li1,362.0200,378.0800,1.799999
FILLER_134_757,VPWR,li1,356.5000,378.0800,1.799999
FILLER_134_755,VPWR,li1,353.0500,378.0800,1.799999
FILLER_134_749,VPWR,li1,351.4400,378.0800,1.799999
FILLER_134_737,VPWR,li1,347.3000,378.0800,1.799999
FILLER_134_725,VPWR,li1,341.7800,378.0800,1.799999
FILLER_134_713,VPWR,li1,336.2600,378.0800,1.799999
FILLER_134_701,VPWR,li1,330.7400,378.0800,1.799999
FILLER_134_699,VPWR,li1,327.2900,378.0800,1.799999
FILLER_134_693,VPWR,li1,325.6800,378.0800,1.799999
FILLER_134_681,VPWR,li1,321.5400,378.0800,1.799999
FILLER_134_669,VPWR,li1,316.0200,378.0800,1.799998
FILLER_134_657,VPWR,li1,310.5000,378.0800,1.799998
FILLER_134_645,VPWR,li1,304.9800,378.0800,1.799997
FILLER_134_643,VPWR,li1,301.5300,378.0800,1.799997
FILLER_134_637,VPWR,li1,299.9200,378.0800,1.799997
FILLER_134_625,VPWR,li1,295.7800,378.0800,1.799997
FILLER_134_613,VPWR,li1,290.2600,378.0800,1.799996
FILLER_134_601,VPWR,li1,284.7400,378.0800,1.799996
FILLER_134_589,VPWR,li1,279.2200,378.0800,1.799995
FILLER_134_587,VPWR,li1,275.7700,378.0800,1.799995
FILLER_134_581,VPWR,li1,274.1600,378.0800,1.799995
FILLER_134_569,VPWR,li1,270.0200,378.0800,1.799995
FILLER_134_557,VPWR,li1,264.5000,378.0800,1.799994
FILLER_134_545,VPWR,li1,258.9800,378.0800,1.799994
FILLER_134_533,VPWR,li1,253.4600,378.0800,1.799993
FILLER_134_531,VPWR,li1,250.0100,378.0800,1.799993
FILLER_134_525,VPWR,li1,248.4000,378.0800,1.799993
FILLER_134_513,VPWR,li1,244.2600,378.0800,1.799993
FILLER_134_501,VPWR,li1,238.7400,378.0800,1.799992
FILLER_134_489,VPWR,li1,233.2200,378.0800,1.799992
FILLER_134_477,VPWR,li1,227.7000,378.0800,1.799991
FILLER_134_475,VPWR,li1,224.2500,378.0800,1.799991
FILLER_134_469,VPWR,li1,222.6400,378.0800,1.799991
FILLER_134_457,VPWR,li1,218.5000,378.0800,1.799990
FILLER_134_445,VPWR,li1,212.9800,378.0800,1.799990
FILLER_134_433,VPWR,li1,207.4600,378.0800,1.799990
FILLER_134_421,VPWR,li1,201.9400,378.0800,1.799989
FILLER_134_418,VPWR,li1,198.2600,378.0800,1.799989
FILLER_134_410,VPWR,li1,195.9600,378.0800,1.799989
FILLER_134_398,VPWR,li1,191.3600,378.0800,1.799988
FILLER_134_377,VPWR,li1,179.1700,378.0800,1.799991
FILLER_134_365,VPWR,li1,176.1800,378.0800,1.799993
FILLER_134_363,VPWR,li1,172.7300,378.0800,1.799992
FILLER_134_357,VPWR,li1,171.1200,378.0800,1.799992
