net,length_um
_0146_,15.26µm
_0102_,15.02µm
_0141_,14.98µm
_0185_,14.895µm
_0268_,14.82µm
_0190_,14.81µm
_0074_,14.72µm
_0539_,14.72µm
_0057_,14.64µm
_0312_,14.62µm
_0396_,14.56µm
_0270_,14.5µm
_0565_,14.5µm
_0453_,14.42µm
_0421_,14.4µm
_0557_,14.38µm
_0501_,14.18µm
_0580_,14.18µm
cnn_mac_wrapper.core_inst.product\[2\],14.18µm
_0434_,14.06µm
_0471_,14.04µm
_0161_,14.02µm
_0144_,13.88µm
_0444_,13.8µm
_0114_,13.56µm
_0377_,13.52µm
_0605_,13.42µm
_0564_,13.38µm
_0299_,13.18µm
_0472_,13.16µm
_0171_,13.12µm
_0296_,13.08µm
_0080_,13.06µm
_0328_,13µm
_0436_,13µm
_0281_,12.96µm
_0369_,12.96µm
_0282_,12.88µm
cnn_mac_wrapper.core_inst.product\[0\],12.88µm
_0177_,12.85µm
_0298_,12.84µm
_0151_,12.775µm
_0454_,12.76µm
_0500_,12.72µm
_0633_,12.64µm
net54,12.64µm
_0456_,12.6µm
m_axis_tdata[31],12.57µm
_0078_,12.38µm
_0291_,12.34µm
_0313_,12.34µm
net5,12.3µm
_0293_,12.24µm
_0076_,12.22µm
_0400_,12.2µm
_0543_,12.2µm
_0330_,12.18µm
net10,12.18µm
net120,12.16µm
_0431_,12.08µm
_0136_,12.025µm
_0476_,12µm
_0408_,11.92µm
_0167_,11.89µm
_0195_,11.85µm
_0628_,11.82µm
_0572_,11.78µm
cnn_mac_wrapper.core_inst.product\[8\],11.76µm
_0528_,11.74µm
_0089_,11.7µm
_0271_,11.6µm
_0228_,11.56µm
_0470_,11.56µm
_0256_,11.54µm
_0086_,11.5µm
_0226_,11.46µm
m_axis_tdata[2],11.46µm
m_axis_tdata[6],11.46µm
_0541_,11.44µm
_0385_,11.32µm
_0619_,11.32µm
_0479_,11.28µm
_0070_,11.22µm
_0197_,11.22µm
_0300_,11.22µm
_0610_,11.22µm
_0527_,11.2µm
_0569_,11.2µm
_0176_,11.18µm
_0394_,11.08µm
_0505_,11.075µm
net56,11.06µm
_0142_,10.96µm
_0160_,10.96µm
_0286_,10.96µm
_0416_,10.88µm
_0506_,10.82µm
net123,10.82µm
_0473_,10.78µm
_0348_,10.76µm
s_axis_tvalid,10.76µm
_0246_,10.755µm
_0088_,10.74µm
_0087_,10.705µm
_0283_,10.7µm
_0159_,10.68µm
_0249_,10.62µm
_0393_,10.6µm
_0310_,10.58µm
_0068_,10.54µm
m_axis_tdata[0],10.54µm
m_axis_tdata[1],10.54µm
m_axis_tdata[3],10.54µm
m_axis_tdata[4],10.54µm
m_axis_tdata[5],10.54µm
_0319_,10.52µm
_0349_,10.36µm
_0207_,10.32µm
_0137_,10.28µm
_0375_,10.28µm
_0067_,10.2µm
_0599_,10.18µm
_0399_,10.14µm
_0304_,10.08µm
_0583_,10.06µm
_0234_,10.04µm
_0435_,9.96µm
_0533_,9.96µm
_0188_,9.92µm
net8,9.88µm
m_axis_tdata[28],9.85µm
_0267_,9.84µm
_0594_,9.84µm
_0311_,9.8µm
_0492_,9.74µm
_0111_,9.7µm
_0357_,9.7µm
_0380_,9.7µm
_0529_,9.7µm
_0562_,9.68µm
s_axis_tlast,9.64µm
_0275_,9.58µm
_0361_,9.56µm
_0083_,9.54µm
_0117_,9.52µm
_0343_,9.52µm
_0609_,9.48µm
cnn_mac_wrapper.core_inst.product\[10\],9.42µm
_0272_,9.4µm
_0352_,9.4µm
_0545_,9.36µm
_0621_,9.36µm
_0537_,9.34µm
cnn_mac_wrapper.last_pipe\[0\],9.34µm
_0414_,9.26µm
_0382_,9.24µm
_0353_,9.18µm
_0518_,9.18µm
_0314_,9.12µm
_0478_,9.12µm
cnn_mac_wrapper.core_inst.product\[6\],9.12µm
_0128_,9.02µm
_0356_,9.02µm
_0155_,8.98µm
net115,8.98µm
_0184_,8.96µm
m_axis_tvalid,8.96µm
s_axis_tready,8.96µm
_0370_,8.92µm
_0173_,8.9µm
_0384_,8.9µm
_0625_,8.9µm
_0285_,8.82µm
_0587_,8.78µm
_0181_,8.725µm
m_axis_tready,8.72µm
_0510_,8.7µm
_0482_,8.68µm
_0119_,8.66µm
_0162_,8.66µm
_0350_,8.66µm
_0611_,8.66µm
cnn_mac_wrapper.core_inst.product\[9\],8.66µm
_0244_,8.62µm
_0386_,8.58µm
_0477_,8.58µm
_0552_,8.58µm
_0092_,8.56µm
_0206_,8.54µm
_0014_,8.525µm
_0245_,8.52µm
_0617_,8.5µm
m_axis_tdata[12],8.5µm
m_axis_tdata[13],8.5µm
m_axis_tdata[14],8.5µm
m_axis_tdata[15],8.5µm
m_axis_tdata[23],8.5µm
m_axis_tlast,8.5µm
_0007_,8.485µm
_0091_,8.48µm
net110,8.48µm
_0060_,8.44µm
_0145_,8.36µm
_0093_,8.34µm
_0388_,8.32µm
_0588_,8.3µm
m_axis_tdata[29],8.29µm
_0342_,8.22µm
_0191_,8.2µm
_0324_,8.2µm
_0475_,8.2µm
_0134_,8.1µm
_0140_,8.1µm
_0368_,8.1µm
_0591_,8.1µm
_0073_,8.06µm
_0200_,8.02µm
_0276_,8.02µm
_0290_,8.02µm
m_axis_tdata[26],8.01µm
s_axis_tdata[13],8.01µm
_0437_,8µm
_0247_,7.94µm
_0112_,7.9µm
_0331_,7.9µm
_0383_,7.9µm
_0395_,7.86µm
_0418_,7.79µm
_0607_,7.78µm
_0556_,7.68µm
cnn_mac_wrapper.core_inst.product\[4\],7.66µm
_0116_,7.64µm
_0568_,7.62µm
_0329_,7.54µm
_0508_,7.54µm
_0174_,7.52µm
net7,7.52µm
_0240_,7.48µm
_0390_,7.48µm
m_axis_tdata[11],7.47µm
m_axis_tdata[8],7.47µm
_0345_,7.44µm
_0439_,7.44µm
_0389_,7.4µm
_0544_,7.4µm
_0613_,7.35µm
_0346_,7.32µm
_0507_,7.32µm
_0446_,7.28µm
_0406_,7.22µm
_0526_,7.22µm
_0535_,7.22µm
_0127_,7.2µm
_0227_,7.2µm
_0169_,7.18µm
_0248_,7.18µm
_0440_,7.18µm
_0474_,7.18µm
_0602_,7.18µm
m_axis_tdata[19],7.13µm
m_axis_tdata[20],7.13µm
_0363_,7.1µm
_0407_,7.1µm
_0534_,7.1µm
_0063_,7.08µm
_0514_,7.08µm
_0449_,7.06µm
_0497_,7µm
_0309_,6.98µm
_0277_,6.96µm
net19,6.96µm
_0106_,6.88µm
_0295_,6.88µm
_0149_,6.86µm
_0451_,6.76µm
_0540_,6.76µm
net111,6.76µm
net119,6.76µm
_0072_,6.74µm
_0306_,6.74µm
net116,6.72µm
_0147_,6.715µm
_0596_,6.64µm
_0634_,6.64µm
_0250_,6.62µm
_0397_,6.62µm
_0344_,6.6µm
_0351_,6.6µm
_0192_,6.57µm
net125,6.54µm
_0315_,6.52µm
_0326_,6.52µm
_0445_,6.52µm
_0531_,6.52µm
_0189_,6.5µm
_0373_,6.5µm
m_axis_tdata[22],6.45µm
m_axis_tdata[25],6.45µm
_0062_,6.42µm
_0442_,6.42µm
_0455_,6.4µm
_0332_,6.32µm
_0484_,6.32µm
_0554_,6.32µm
s_axis_tdata[11],6.31µm
_0148_,6.3µm
_0412_,6.3µm
_0425_,6.3µm
net121,6.3µm
_0052_,6.295µm
_0372_,6.285µm
_0536_,6.28µm
_0199_,6.2µm
_0489_,6.2µm
_0595_,6.2µm
_0075_,6.18µm
_0109_,6.18µm
_0266_,6.18µm
_0337_,6.18µm
_0491_,6.18µm
_0627_,6.18µm
net109,6.18µm
_0105_,6.14µm
_0371_,6.105µm
_0566_,6.08µm
_0560_,6.07µm
_0108_,6.06µm
_0460_,6.06µm
_0524_,6.06µm
_0047_,6.025µm
_0230_,6.02µm
_0297_,6µm
s_axis_tdata[4],5.99µm
_0463_,5.98µm
s_axis_tdata[10],5.97µm
s_axis_tdata[15],5.97µm
s_axis_tdata[6],5.97µm
cnn_mac_wrapper.core_inst.product\[15\],5.96µm
_0355_,5.94µm
_0379_,5.86µm
net117,5.84µm
net118,5.84µm
_0257_,5.82µm
m_axis_tdata[17],5.77µm
m_axis_tdata[21],5.77µm
m_axis_tdata[9],5.77µm
_0555_,5.74µm
_0079_,5.72µm
_0179_,5.72µm
_0581_,5.72µm
_0589_,5.72µm
s_axis_tdata[3],5.63µm
_0237_,5.6µm
_0254_,5.6µm
_0606_,5.6µm
m_axis_tdata[30],5.53µm
_0459_,5.51µm
aresetn,5.51µm
_0000_,5.405µm
_0448_,5.4µm
_0457_,5.395µm
_0209_,5.38µm
_0419_,5.38µm
cnn_mac_wrapper.valid_pipe\[0\],5.38µm
_0094_,5.36µm
_0481_,5.36µm
_0567_,5.36µm
_0090_,5.34µm
_0208_,5.34µm
_0214_,5.34µm
_0252_,5.34µm
_0259_,5.34µm
_0364_,5.34µm
_0573_,5.34µm
_0620_,5.34µm
m_axis_tdata[10],5.29µm
m_axis_tdata[16],5.29µm
s_axis_tdata[14],5.29µm
s_axis_tdata[1],5.29µm
_0002_,5.265µm
_0232_,5.26µm
_0321_,5.26µm
_0401_,5.26µm
_0410_,5.26µm
_0623_,5.26µm
_0158_,5.22µm
_0378_,5.14µm
_0035_,5.095µm
_0037_,5.045µm
_0305_,5µm
s_axis_tdata[0],4.95µm
s_axis_tdata[5],4.95µm
s_axis_tdata[8],4.95µm
_0139_,4.92µm
_0044_,4.905µm
_0066_,4.9µm
_0049_,4.895µm
_0365_,4.895µm
_0061_,4.88µm
_0095_,4.88µm
_0153_,4.88µm
_0224_,4.88µm
_0483_,4.88µm
_0626_,4.88µm
_0015_,4.845µm
_0065_,4.82µm
_0496_,4.82µm
_0025_,4.805µm
_0028_,4.805µm
_0165_,4.8µm
_0182_,4.8µm
_0278_,4.8µm
_0338_,4.8µm
_0461_,4.8µm
_0129_,4.76µm
_0202_,4.76µm
_0280_,4.68µm
cnn_mac_wrapper.core_inst.product\[3\],4.68µm
s_axis_tdata[12],4.61µm
s_axis_tdata[2],4.61µm
s_axis_tdata[7],4.61µm
s_axis_tdata[9],4.61µm
_0307_,4.6µm
_0570_,4.57µm
_0403_,4.56µm
_0522_,4.56µm
_0262_,4.48µm
_0058_,4.46µm
_0577_,4.46µm
_0503_,4.44µm
_0056_,4.42µm
_0205_,4.42µm
_0274_,4.42µm
_0604_,4.42µm
_0586_,4.38µm
_0618_,4.36µm
_0084_,4.34µm
_0120_,4.34µm
_0154_,4.34µm
_0194_,4.34µm
_0229_,4.34µm
_0480_,4.34µm
_0530_,4.34µm
_0612_,4.34µm
_0042_,4.305µm
m_axis_tdata[24],4.27µm
m_axis_tdata[7],4.27µm
_0289_,4.22µm
_0164_,4.2µm
_0287_,4.14µm
_0464_,4.14µm
_0196_,4.1µm
_0085_,4µm
_0098_,4µm
_0180_,4µm
_0008_,3.995µm
m_axis_tdata[18],3.93µm
m_axis_tdata[27],3.93µm
_0104_,3.905µm
_0103_,3.9µm
_0124_,3.9µm
_0204_,3.9µm
_0150_,3.88µm
_0264_,3.88µm
_0517_,3.88µm
_0576_,3.88µm
_0584_,3.88µm
_0598_,3.78µm
_0133_,3.74µm
_0001_,3.705µm
_0441_,3.66µm
_0502_,3.66µm
_0121_,3.64µm
_0258_,3.64µm
_0003_,3.585µm
_0302_,3.57µm
_0538_,3.56µm
_0622_,3.56µm
_0125_,3.54µm
_0143_,3.54µm
_0260_,3.54µm
_0340_,3.54µm
_0021_,3.525µm
_0022_,3.505µm
_0041_,3.465µm
_0048_,3.44µm
_0284_,3.44µm
_0374_,3.44µm
_0135_,3.42µm
_0198_,3.42µm
_0341_,3.3µm
_0546_,3.3µm
_0010_,3.245µm
_0034_,3.245µm
_0424_,3.22µm
_0485_,3.22µm
net114,3.22µm
_0156_,3.2µm
net122,3.2µm
_0493_,3.18µm
_0170_,3.1µm
_0335_,3.1µm
_0417_,3.1µm
_0071_,3.08µm
_0122_,3.08µm
_0168_,3.06µm
_0603_,3.06µm
_0051_,3.045µm
_0036_,3.005µm
_0040_,3.005µm
_0211_,2.96µm
_0339_,2.96µm
_0608_,2.96µm
_0504_,2.86µm
_0033_,2.835µm
_0110_,2.8µm
_0006_,2.785µm
net112,2.76µm
net113,2.76µm
_0236_,2.74µm
_0542_,2.64µm
_0113_,2.62µm
_0123_,2.62µm
_0178_,2.62µm
_0183_,2.62µm
_0235_,2.62µm
_0238_,2.62µm
_0515_,2.62µm
_0548_,2.62µm
net108,2.62µm
_0032_,2.605µm
_0013_,2.595µm
_0004_,2.545µm
_0016_,2.545µm
_0017_,2.545µm
_0097_,2.52µm
_0632_,2.52µm
_0225_,2.5µm
_0495_,2.5µm
_0624_,2.5µm
net55,2.5µm
_0045_,2.325µm
_0215_,2.3µm
_0118_,2.18µm
_0126_,2.18µm
_0398_,2.18µm
_0458_,2.18µm
_0511_,2.18µm
_0575_,2.18µm
_0138_,2.16µm
_0220_,2.16µm
_0420_,2.16µm
_0490_,2.16µm
_0550_,2.16µm
_0579_,2.16µm
_0630_,2.16µm
_0046_,2.145µm
_0029_,2.085µm
_0009_,2.08µm
_0223_,2.06µm
_0631_,2.06µm
_0152_,2.04µm
_0251_,2.04µm
_0366_,2.04µm
_0563_,2.04µm
_0019_,2.025µm
_0050_,2.025µm
_0023_,1.865µm
_0038_,1.865µm
_0404_,1.84µm
_0592_,1.84µm
net124,1.84µm
_0166_,1.72µm
_0221_,1.72µm
_0487_,1.72µm
_0525_,1.72µm
_0547_,1.72µm
_0100_,1.7µm
_0231_,1.7µm
_0255_,1.7µm
_0005_,1.685µm
_0011_,1.685µm
_0018_,1.685µm
_0020_,1.685µm
_0024_,1.685µm
_0026_,1.685µm
_0027_,1.685µm
_0030_,1.685µm
_0031_,1.685µm
_0039_,1.685µm
_0043_,1.685µm
_0193_,1.48µm
_0402_,1.48µm
_0012_,1.405µm
_0269_,1.38µm
_0559_,1.38µm
_0615_,0.92µm
_0513_,0.8µm
_0465_,0.46µm
