net,length_um
net64,164.36µm
net107,163.56µm
net104,152.26µm
net61,152.08µm
clknet_2_3__leaf_aclk,145.92µm
net62,145.525µm
net97,145.34µm
clknet_2_0__leaf_aclk,144.28µm
net2,140.78µm
net63,134.74µm
clknet_2_2__leaf_aclk,132.9µm
net103,127.1µm
net95,124.735µm
net102,124.4µm
net106,124.23µm
net66,123.1µm
clknet_2_1__leaf_aclk,122.515µm
net68,121.53µm
net82,119.795µm
net78,113.985µm
net93,113.63µm
net16,112.88µm
net67,107.56µm
net73,107.415µm
net86,106.52µm
net99,105.42µm
net105,103.53µm
_0053_,101.665µm
net91,99.82µm
clknet_0_aclk,98.02µm
_0466_,95.56µm
aclk,93.79µm
net100,92.04µm
net84,88.845µm
net80,87.115µm
net59,85.46µm
net72,84.92µm
net65,80.62µm
net71,78.6µm
net89,78.375µm
_0054_,77.12µm
net74,76.8µm
_0499_,76.62µm
net88,74.98µm
net1,74.86µm
net77,72.365µm
net75,70.98µm
net58,70.24µm
net70,69.56µm
_0055_,69.23µm
net18,68.26µm
net76,65.6µm
net17,65.48µm
net57,61.96µm
net14,60.08µm
net96,58.48µm
net98,53.925µm
net28,52.58µm
net83,52.24µm
net24,51.88µm
net52,51.24µm
net23,50µm
net32,49.66µm
_0391_,48.84µm
net85,48µm
net51,47.84µm
net87,45.7µm
net22,45.42µm
_0486_,44.92µm
net69,44.06µm
net33,44µm
net6,43.64µm
_0358_,42.98µm
_0409_,42.84µm
net29,42.44µm
net50,42µm
net21,40.44µm
net15,40.22µm
_0213_,40.08µm
_0558_,39.88µm
net37,39.84µm
_0130_,39.78µm
net9,39.46µm
_0308_,38.68µm
net81,38.62µm
_0362_,38.52µm
net60,38.26µm
net12,38.24µm
net49,37.78µm
_0462_,37.66µm
_0405_,37.16µm
_0494_,36.78µm
net79,36.455µm
_0099_,35.84µm
_0367_,35.72µm
net25,35.38µm
net40,35.18µm
net35,35.16µm
_0261_,34.94µm
net20,34.18µm
_0392_,33.76µm
_0629_,33.74µm
net92,33.58µm
_0334_,33.32µm
_0467_,32.82µm
net101,32.725µm
_0574_,32.42µm
_0239_,32.37µm
net4,32.16µm
_0265_,31.62µm
_0411_,30.86µm
net94,30.58µm
_0263_,30.54µm
_0359_,30.54µm
_0614_,30.16µm
_0212_,29.995µm
_0468_,29.64µm
net34,29.35µm
_0597_,29.26µm
_0077_,28.625µm
net44,28.46µm
_0131_,27.94µm
_0081_,27.66µm
_0433_,27.52µm
net36,27.48µm
net90,27.2µm
_0585_,26.875µm
_0187_,26.82µm
net39,26.78µm
_0523_,26.74µm
net47,26.68µm
_0519_,26.2µm
_0498_,26.06µm
_0376_,25.78µm
net13,25.68µm
cnn_mac_wrapper.core_inst.product\[14\],25.46µm
_0432_,25.44µm
net41,25.4µm
_0571_,25.1µm
_0593_,24.46µm
_0218_,24.3µm
cnn_mac_wrapper.core_inst.product\[5\],23.96µm
net48,23.935µm
_0336_,23.64µm
_0549_,23.58µm
_0450_,23.28µm
_0582_,23.22µm
_0241_,23.11µm
_0203_,22.76µm
_0616_,22.74µm
_0381_,22.55µm
net38,22.38µm
_0360_,22.22µm
net11,22.22µm
net3,22.06µm
net27,21.69µm
_0429_,21.56µm
cnn_mac_wrapper.core_inst.product\[12\],21.42µm
_0273_,21.3µm
_0243_,21.04µm
net30,20.8µm
_0452_,20.76µm
_0354_,20.54µm
_0423_,20.42µm
_0288_,20.4µm
_0520_,20.4µm
_0096_,20.36µm
net46,20.24µm
_0551_,20.2µm
_0413_,20.06µm
_0438_,19.86µm
cnn_mac_wrapper.core_inst.product\[13\],19.7µm
_0163_,19.5µm
_0333_,19.46µm
_0469_,19.4µm
_0253_,19.36µm
_0186_,19.11µm
net42,19.08µm
_0157_,19.04µm
_0447_,18.9µm
_0064_,18.69µm
_0422_,18.64µm
_0242_,18.58µm
_0509_,18.58µm
net26,18.54µm
_0317_,18.46µm
_0320_,18.32µm
_0294_,18.28µm
_0532_,18.24µm
net43,18.24µm
_0443_,18.02µm
_0347_,18µm
_0082_,17.99µm
_0303_,17.96µm
_0387_,17.94µm
_0201_,17.9µm
_0488_,17.9µm
net45,17.855µm
_0279_,17.78µm
_0172_,17.6µm
_0175_,17.6µm
_0590_,17.58µm
_0325_,17.54µm
_0132_,17.48µm
_0516_,17.48µm
_0430_,17.22µm
_0101_,17.2µm
_0115_,17.16µm
net31,17.14µm
_0578_,17.1µm
_0316_,17.08µm
_0512_,17.06µm
_0216_,17µm
_0323_,16.88µm
_0318_,16.84µm
_0428_,16.74µm
_0521_,16.72µm
_0217_,16.68µm
_0322_,16.58µm
_0219_,16.5µm
cnn_mac_wrapper.core_inst.product\[7\],16.38µm
_0415_,16.36µm
_0427_,16.28µm
_0210_,16.26µm
_0301_,16.24µm
_0059_,16.23µm
_0233_,16.2µm
_0069_,16.08µm
_0292_,16.04µm
_0327_,16.04µm
cnn_mac_wrapper.core_inst.product\[11\],15.98µm
_0553_,15.94µm
cnn_mac_wrapper.core_inst.product\[1\],15.94µm
_0426_,15.62µm
_0601_,15.44µm
_0600_,15.42µm
_0107_,15.4µm
_0222_,15.34µm
_0561_,15.34µm
net53,15.28µm
