net,length_um
_06587_,115.13µm
net293,115.13µm
net333,115.06µm
net625,115.04µm
net629,114.72µm
net674,114.71µm
net513,114.54µm
net360,114.395µm
net344,114.38µm
net133,114.24µm
net826,113.96µm
net512,113.76µm
net649,113.695µm
net116,113.22µm
net259,112.93µm
net541,112.86µm
net465,112.66µm
net507,112.62µm
net312,112.61µm
net138,112.38µm
net647,112.3µm
net692,112.28µm
_01676_,111.96µm
net422,111.9µm
_02349_,111.595µm
net423,111.36µm
net334,111.23µm
net559,111.02µm
_06588_,110.86µm
net427,110.5µm
net672,110.45µm
net127,109.82µm
net469,109.77µm
net82,109.7µm
net479,109.62µm
net636,109.13µm
net439,108.92µm
net658,108.9µm
_02230_,108.1µm
net580,108.02µm
net635,107.62µm
net41,107.615µm
net402,107.33µm
net502,107.33µm
net577,107.255µm
net561,107.22µm
clknet_3_0__leaf_clk,107.08µm
net524,106.975µm
net475,106.9µm
net206,106.78µm
net514,106.7µm
net574,106.64µm
net598,106.235µm
net378,106.115µm
net501,105.99µm
net437,105.8µm
net269,104.975µm
net566,104.75µm
_03426_,104.73µm
net495,104.62µm
_02360_,104.04µm
net416,103.78µm
net83,103.6µm
net376,102.98µm
_03690_,102.86µm
net287,102.84µm
net617,102.34µm
net267,102.26µm
net527,102µm
net117,101.98µm
net515,101.92µm
net592,101.78µm
net142,101.12µm
net666,100.915µm
net150,100.72µm
net455,100.6µm
_06561_,100.54µm
net159,100.48µm
net58,100.36µm
_00186_,100.32µm
net460,100.305µm
net134,100.12µm
net568,99.94µm
net370,99.08µm
net655,98.85µm
net149,98.82µm
net452,98.5µm
_02273_,98.32µm
net49,98.2µm
net408,97.54µm
net654,97.52µm
net291,97.325µm
net143,96.82µm
net300,96.68µm
net420,96.67µm
net409,96.52µm
net600,96.515µm
net302,96.405µm
_02142_,96.26µm
net323,95.46µm
_05195_,95.36µm
net594,95.215µm
net39,95.16µm
net518,94.91µm
net103,94.9µm
net595,94.62µm
net317,94.21µm
net406,93.88µm
net509,93.52µm
_01825_,92.96µm
net526,92.87µm
net538,92.26µm
net391,92.21µm
net390,92.1µm
net47,91.62µm
net249,91.49µm
_06518_,91.46µm
net396,90.71µm
net410,90.32µm
net529,90.12µm
_01075_,89.96µm
_01950_,89.74µm
net534,89.69µm
net273,89.68µm
clknet_3_3__leaf_clk,89.5µm
net575,89.38µm
_00187_,89.225µm
_00184_,89.2µm
net368,89.07µm
net19,88.58µm
net616,88.18µm
net61,87.92µm
net158,87.7µm
net247,87.66µm
net404,87.66µm
net16,87.32µm
_02208_,87.28µm
net696,87.08µm
net567,86.8µm
net341,86.66µm
_02786_,86.58µm
_03502_,86.56µm
net591,86.4µm
_05386_,86.36µm
net478,86.115µm
net297,85.895µm
_02672_,85.62µm
net290,85.6µm
net428,85.6µm
clknet_3_4__leaf_clk,85.24µm
net122,84.99µm
_05388_,84.615µm
_02197_,84.18µm
net340,83.96µm
net505,83.8µm
_01949_,83.26µm
_05225_,83.08µm
net597,83.06µm
net123,82.94µm
_01822_,82.44µm
net95,82.44µm
_02062_,82.34µm
_02061_,82.28µm
net254,81.78µm
_03590_,81.32µm
net20,81.04µm
_05389_,80.96µm
_02131_,80.22µm
net43,80.12µm
net53,79.92µm
net75,79.53µm
net356,79.5µm
net486,79.34µm
_03586_,79.24µm
net113,79.1µm
net294,79.07µm
net605,78.875µm
net639,78.56µm
net377,78.5µm
net79,78.16µm
_02506_,78.1µm
net313,77.99µm
net135,77.82µm
_00261_,77.8µm
_02153_,77.68µm
_02240_,77.4µm
net74,77.08µm
net144,76.9µm
net197,76.86µm
net139,76.76µm
net115,76.68µm
net59,76.44µm
_05149_,76.29µm
net468,76.285µm
_01088_,76.16µm
net296,75.9µm
net76,75.8µm
net606,75.8µm
_02522_,75.49µm
net412,75.26µm
_02284_,75.12µm
_02815_,74.93µm
net280,74.83µm
_05288_,74.78µm
net388,74.695µm
_00416_,74.37µm
net310,74.36µm
_01732_,74.29µm
