Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_44_36,VGND,li1,23.9200,130.5600,0.000036
FILLER_44_26,VGND,li1,17.9400,130.5600,0.000038
FILLER_44_18,VGND,li1,15.6400,130.5600,0.000038
FILLER_44_6,VGND,li1,11.0400,130.5600,0.000039
FILLER_43_281,VGND,li1,135.4700,130.5600,0.000210
FILLER_43_278,VGND,li1,133.8600,130.5600,0.000210
FILLER_43_266,VGND,li1,130.6400,130.5600,0.000210
FILLER_43_254,VGND,li1,125.1200,130.5600,0.000210
FILLER_43_242,VGND,li1,119.6000,130.5600,0.000210
FILLER_43_230,VGND,li1,114.0800,130.5600,0.000210
FILLER_43_209,VGND,li1,102.1200,130.5600,0.000205
FILLER_43_201,VGND,li1,99.8200,130.5600,0.000203
FILLER_43_181,VGND,li1,89.4700,130.5600,0.000190
FILLER_43_173,VGND,li1,86.9400,130.5600,0.000187
FILLER_43_164,VGND,li1,81.8800,130.5600,0.000180
FILLER_43_152,VGND,li1,78.2000,130.5600,0.000174
FILLER_43_134,VGND,li1,67.3900,130.5600,0.000160
FILLER_43_128,VGND,li1,65.7800,130.5600,0.000156
FILLER_43_109,VGND,li1,56.3500,130.5600,0.000135
FILLER_43_92,VGND,li1,48.5300,130.5600,0.000115
FILLER_43_81,VGND,li1,44.1600,130.5600,0.000102
FILLER_43_69,VGND,li1,40.0200,130.5600,0.000086
FILLER_43_57,VGND,li1,34.5000,130.5600,0.000071
FILLER_43_54,VGND,li1,30.8200,130.5600,0.000055
FILLER_43_42,VGND,li1,27.6000,130.5600,0.000045
FILLER_43_30,VGND,li1,22.0800,130.5600,0.000037
FILLER_43_26,VGND,li1,17.7100,130.5600,0.000038
FILLER_43_17,VGND,li1,14.7200,130.5600,0.000038
FILLER_43_11,VGND,li1,11.0400,130.5600,0.000039
FILLER_43_3,VGND,li1,8.7400,130.5600,0.000039
FILLER_42_283,VGND,li1,135.9300,125.1200,0.000088
FILLER_42_277,VGND,li1,134.3200,125.1200,0.000088
FILLER_42_265,VGND,li1,130.1800,125.1200,0.000088
FILLER_42_253,VGND,li1,124.6600,125.1200,0.000087
FILLER_42_250,VGND,li1,120.9800,125.1200,0.000087
FILLER_42_242,VGND,li1,118.6800,125.1200,0.000086
FILLER_42_230,VGND,li1,114.0800,125.1200,0.000086
FILLER_42_218,VGND,li1,108.5600,125.1200,0.000085
FILLER_42_209,VGND,li1,103.0400,125.1200,0.000084
FILLER_42_197,VGND,li1,98.9000,125.1200,0.000083
FILLER_42_195,VGND,li1,95.4500,125.1200,0.000082
FILLER_42_189,VGND,li1,93.8400,125.1200,0.000082
FILLER_42_177,VGND,li1,89.7000,125.1200,0.000079
FILLER_42_165,VGND,li1,84.1800,125.1200,0.000073
FILLER_42_153,VGND,li1,78.6600,125.1200,0.000069
FILLER_42_141,VGND,li1,73.1400,125.1200,0.000065
FILLER_42_139,VGND,li1,69.6900,125.1200,0.000060
FILLER_42_133,VGND,li1,68.0800,125.1200,0.000060
FILLER_42_121,VGND,li1,63.9400,125.1200,0.000057
FILLER_42_109,VGND,li1,58.4200,125.1200,0.000051
FILLER_42_97,VGND,li1,52.9000,125.1200,0.000047
FILLER_42_85,VGND,li1,47.3800,125.1200,0.000043
FILLER_42_83,VGND,li1,43.9300,125.1200,0.000040
FILLER_42_75,VGND,li1,41.8600,125.1200,0.000038
FILLER_42_66,VGND,li1,36.3400,125.1200,0.000031
FILLER_42_54,VGND,li1,33.1200,125.1200,0.000028
FILLER_42_43,VGND,li1,25.5300,125.1200,0.000021
FILLER_42_35,VGND,li1,23.4600,125.1200,0.000019
FILLER_42_26,VGND,li1,17.9400,125.1200,0.000022
FILLER_41_281,VGND,li1,135.4700,125.1200,0.000088
FILLER_41_274,VGND,li1,132.0200,125.1200,0.000088
FILLER_41_262,VGND,li1,128.8000,125.1200,0.000088
FILLER_41_249,VGND,li1,121.4400,125.1200,0.000087
FILLER_41_237,VGND,li1,117.3000,125.1200,0.000086
FILLER_41_225,VGND,li1,111.7800,125.1200,0.000085
FILLER_41_222,VGND,li1,108.1000,125.1200,0.000085
FILLER_41_214,VGND,li1,105.8000,125.1200,0.000084
FILLER_41_202,VGND,li1,101.2000,125.1200,0.000084
FILLER_41_185,VGND,li1,90.8500,125.1200,0.000079
FILLER_41_181,VGND,li1,89.7000,125.1200,0.000079
FILLER_41_169,VGND,li1,86.0200,125.1200,0.000076
FILLER_41_167,VGND,li1,82.5700,125.1200,0.000071
FILLER_41_161,VGND,li1,80.9600,125.1200,0.000071
FILLER_41_149,VGND,li1,76.8200,125.1200,0.000068
FILLER_41_137,VGND,li1,71.3000,125.1200,0.000062
FILLER_41_125,VGND,li1,65.7800,125.1200,0.000058
FILLER_41_113,VGND,li1,60.2600,125.1200,0.000054
FILLER_41_111,VGND,li1,56.8100,125.1200,0.000051
FILLER_41_103,VGND,li1,54.7400,125.1200,0.000049
FILLER_41_91,VGND,li1,50.1400,125.1200,0.000045
FILLER_41_79,VGND,li1,44.6200,125.1200,0.000040
FILLER_41_67,VGND,li1,39.1000,125.1200,0.000035
FILLER_41_63,VGND,li1,34.7300,125.1200,0.000031
FILLER_41_57,VGND,li1,33.1200,125.1200,0.000028
FILLER_41_53,VGND,li1,30.5900,125.1200,0.000026
FILLER_41_37,VGND,li1,24.3800,125.1200,0.000019
FILLER_41_27,VGND,li1,18.1700,125.1200,0.000022
FILLER_41_6,VGND,li1,10.1200,125.1200,0.000024
FILLER_40_282,VGND,li1,135.7000,119.6800,0.000251
FILLER_40_268,VGND,li1,129.2600,119.6800,0.000248
FILLER_40_250,VGND,li1,120.9800,119.6800,0.000242
FILLER_40_242,VGND,li1,118.6800,119.6800,0.000239
FILLER_40_230,VGND,li1,114.0800,119.6800,0.000234
